date,unemployement,uscpi
01-01-1983,10.4,97.8
01-02-1983,10.4,97.9
01-03-1983,10.3,97.9
01-04-1983,10.2,98.6
01-05-1983,10.1,99.2
01-06-1983,10.1,99.5
01-07-1983,9.4,99.9
01-08-1983,9.5,100.2
01-09-1983,9.2,100.7
01-10-1983,8.8,101
01-11-1983,8.5,101.2
01-12-1983,8.3,101.3
01-01-1984,8,101.9
01-02-1984,7.8,102.4
01-03-1984,7.8,102.6
01-04-1984,7.7,103.1
01-05-1984,7.4,103.4
01-06-1984,7.2,103.7
01-07-1984,7.5,104.1
01-08-1984,7.5,104.5
01-09-1984,7.3,105
01-10-1984,7.4,105.3
01-11-1984,7.2,105.3
01-12-1984,7.3,105.3
01-01-1985,7.3,105.5
01-02-1985,7.2,106
01-03-1985,7.2,106.4
01-04-1985,7.3,106.9
01-05-1985,7.2,107.3
01-06-1985,7.4,107.6
01-07-1985,7.4,107.8
01-08-1985,7.1,108
01-09-1985,7.1,108.3
01-10-1985,7.1,108.7
01-11-1985,7,109
01-12-1985,7,109.3
01-01-1986,6.7,109.6
01-02-1986,7.2,109.3
01-03-1986,7.2,108.8
01-04-1986,7.1,108.6
01-05-1986,7.2,108.9
01-06-1986,7.2,109.5
01-07-1986,7,109.5
01-08-1986,6.9,109.7
01-09-1986,7,110.2
01-10-1986,7,110.3
01-11-1986,6.9,110.4
01-12-1986,6.6,110.5
01-01-1987,6.6,111.2
01-02-1987,6.6,111.6
01-03-1987,6.6,112.1
01-04-1987,6.3,112.7
01-05-1987,6.3,113.1
01-06-1987,6.2,113.5
01-07-1987,6.1,113.8
01-08-1987,6,114.4
01-09-1987,5.9,115
01-10-1987,6,115.3
01-11-1987,5.8,115.4
01-12-1987,5.7,115.4
01-01-1988,5.7,115.7
01-02-1988,5.7,116
01-03-1988,5.7,116.5
01-04-1988,5.4,117.1
01-05-1988,5.6,117.5
01-06-1988,5.4,118
01-07-1988,5.4,118.5
01-08-1988,5.6,119
01-09-1988,5.4,119.8
01-10-1988,5.4,120.2
01-11-1988,5.3,120.3
01-12-1988,5.3,120.5
01-01-1989,5.4,121.1
01-02-1989,5.2,121.6
01-03-1989,5,122.3
01-04-1989,5.2,123.1
01-05-1989,5.2,123.8
01-06-1989,5.3,124.1
01-07-1989,5.2,124.4
01-08-1989,5.2,124.6
01-09-1989,5.3,125
01-10-1989,5.3,125.6
01-11-1989,5.4,125.9
01-12-1989,5.4,126.1
01-01-1990,5.4,127.4
01-02-1990,5.3,128
01-03-1990,5.2,128.7
01-04-1990,5.4,128.9
01-05-1990,5.4,129.2
01-06-1990,5.2,129.9
01-07-1990,5.5,130.4
01-08-1990,5.7,131.6
01-09-1990,5.9,132.7
01-10-1990,5.9,133.5
01-11-1990,6.2,133.8
01-12-1990,6.3,133.8
01-01-1991,6.4,134.6
01-02-1991,6.6,134.8
01-03-1991,6.8,135
01-04-1991,6.7,135.2
01-05-1991,6.9,135.6
01-06-1991,6.9,136
01-07-1991,6.8,136.2
01-08-1991,6.9,136.6
01-09-1991,6.9,137.2
01-10-1991,7,137.4
01-11-1991,7,137.8
01-12-1991,7.3,137.9
01-01-1992,7.3,138.1
01-02-1992,7.4,138.6
01-03-1992,7.4,139.3
01-04-1992,7.4,139.5
01-05-1992,7.6,139.7
01-06-1992,7.8,140.2
01-07-1992,7.7,140.5
01-08-1992,7.6,140.9
01-09-1992,7.6,141.3
01-10-1992,7.3,141.8
01-11-1992,7.4,142
01-12-1992,7.4,141.9
01-01-1993,7.3,142.6
01-02-1993,7.1,143.1
01-03-1993,7,143.6
01-04-1993,7.1,144
01-05-1993,7.1,144.2
01-06-1993,7,144.4
01-07-1993,6.9,144.4
01-08-1993,6.8,144.8
01-09-1993,6.7,145.1
01-10-1993,6.8,145.7
01-11-1993,6.6,145.8
01-12-1993,6.5,145.8
01-01-1994,6.6,146.2
01-02-1994,6.6,146.7
01-03-1994,6.5,147.2
01-04-1994,6.4,147.4
01-05-1994,6.1,147.5
01-06-1994,6.1,148
01-07-1994,6.1,148.4
01-08-1994,6,149
01-09-1994,5.9,149.4
01-10-1994,5.8,149.5
01-11-1994,5.6,149.7
01-12-1994,5.5,149.7
01-01-1995,5.6,150.3
01-02-1995,5.4,150.9
01-03-1995,5.4,151.4
01-04-1995,5.8,151.9
01-05-1995,5.6,152.2
01-06-1995,5.6,152.5
01-07-1995,5.7,152.5
01-08-1995,5.7,152.9
01-09-1995,5.6,153.2
01-10-1995,5.5,153.7
01-11-1995,5.6,153.6
01-12-1995,5.6,153.5
01-01-1996,5.6,154.4
01-02-1996,5.5,154.9
01-03-1996,5.5,155.7
01-04-1996,5.6,156.3
01-05-1996,5.6,156.6
01-06-1996,5.3,156.7
01-07-1996,5.5,157
01-08-1996,5.1,157.3
01-09-1996,5.2,157.8
01-10-1996,5.2,158.3
01-11-1996,5.4,158.6
01-12-1996,5.4,158.6
01-01-1997,5.3,159.1
01-02-1997,5.2,159.6
01-03-1997,5.2,160
01-04-1997,5.1,160.2
01-05-1997,4.9,160.1
01-06-1997,5,160.3
01-07-1997,4.9,160.5
01-08-1997,4.8,160.8
01-09-1997,4.9,161.2
01-10-1997,4.7,161.6
01-11-1997,4.6,161.5
01-12-1997,4.7,161.3
01-01-1998,4.6,161.6
01-02-1998,4.6,161.9
01-03-1998,4.7,162.2
01-04-1998,4.3,162.5
01-05-1998,4.4,162.8
01-06-1998,4.5,163
01-07-1998,4.5,163.2
01-08-1998,4.5,163.4
01-09-1998,4.6,163.6
01-10-1998,4.5,164
01-11-1998,4.4,164
01-12-1998,4.4,163.9
01-01-1999,4.3,164.3
01-02-1999,4.4,164.5
01-03-1999,4.2,165
01-04-1999,4.3,166.2
01-05-1999,4.2,166.2
01-06-1999,4.3,166.2
01-07-1999,4.3,166.7
01-08-1999,4.2,167.1
01-09-1999,4.2,167.9
01-10-1999,4.1,168.2
01-11-1999,4.1,168.3
01-12-1999,4,168.3
01-01-2000,4,168.8
01-02-2000,4.1,169.8
01-03-2000,4,171.2
01-04-2000,3.8,171.3
01-05-2000,4,171.5
01-06-2000,4,172.4
01-07-2000,4,172.8
01-08-2000,4.1,172.8
01-09-2000,3.9,173.7
01-10-2000,3.9,174
01-11-2000,3.9,174.1
01-12-2000,3.9,174
01-01-2001,4.2,175.1
01-02-2001,4.2,175.8
01-03-2001,4.3,176.2
01-04-2001,4.4,176.9
01-05-2001,4.3,177.7
01-06-2001,4.5,178
01-07-2001,4.6,177.5
01-08-2001,4.9,177.5
01-09-2001,5,178.3
01-10-2001,5.3,177.7
01-11-2001,5.5,177.4
01-12-2001,5.7,176.7
01-01-2002,5.7,177.1
01-02-2002,5.7,177.8
01-03-2002,5.7,178.8
01-04-2002,5.9,179.8
01-05-2002,5.8,179.8
01-06-2002,5.8,179.9
01-07-2002,5.8,180.1
01-08-2002,5.7,180.7
01-09-2002,5.7,181
01-10-2002,5.7,181.3
01-11-2002,5.9,181.3
01-12-2002,6,180.9
